,Team,Expected Games
0,UConn,5.2129999999999495
1,Kentucky,4.627999999999955
2,UNC,4.045999999999906
3,Houston,3.9349999999999645
4,Purdue,3.6539999999999697
5,Creighton,3.1699999999999644
6,Baylor,3.1039999999999712
7,Tennessee,3.0819999999999634
8,Gonzaga,3.005999999999957
9,Michigan State,2.9999999999999427
10,Arizona,2.841999999999968
11,Kansas,2.695999999999956
12,Iowa State,2.644999999999966
13,Duke,2.634999999999968
14,Auburn,2.617999999999969
15,BYU,2.561999999999968
16,Washington State,2.5209999999999675
17,Florida,2.4449999999999648
18,Marquette,2.4399999999999675
19,Illinois,2.357999999999969
20,Dayton,2.34399999999997
21,Saint Mary's,2.3409999999999638
22,Wisconsin,2.323999999999966
23,Alabama,2.1829999999999683
24,San Diego State,2.1239999999999717
25,South Carolina,2.060999999999967
26,Texas A&M,2.023999999999984
27,Texas Tech,2.0189999999999912
28,Florida Atlantic,2.008999999999987
29,Clemson,1.978999999999974
30,Colorado State,1.7529999999999721
31,Utah State,1.6299999999999775
32,Texas,1.6019999999999748
33,Oregon,1.537999999999972
34,TCU,1.51599999999998
35,James Madison,1.3909999999999758
36,New Mexico,1.3899999999999795
37,Nevada,1.33199999999998
38,Grand Canyon,1.3179999999999803
39,Morehead State,1.3109999999999797
40,Duquesne,1.3029999999999788
41,Colorado,1.2569999999999824
42,College of Charleston,1.2519999999999825
43,UAB,1.234999999999984
44,St. Peter's,1.2259999999999809
45,Western Kentucky,1.201999999999985
46,Drake,1.1789999999999854
47,Northwestern,1.1749999999999876
48,South Dakota State,1.171999999999987
49,Nebraska,1.1639999999999875
50,Yale,1.1469999999999883
51,Colgate,1.1379999999999877
52,NC State,1.1339999999999886
53,McNeese State,1.1009999999999907
54,Long Beach State,1.0929999999999924
55,Akron,1.0879999999999928
56,Samford,1.0789999999999944
57,Vermont,1.0699999999999943
58,Grambling,1.0679999999999943
59,Mississippi State,1.0369999999999968
60,Longwood,1.0349999999999968
61,Oakland,1.026999999999998
62,Wagner,1.0209999999999984
63,Stetson,1.0079999999999998
