,Team,Expected Games,Player,Expected Points,Total Expected Points
0,UConn,5.2129999999999495,Tristen Newton,16.325945622627234,85.10715453075494
56,Purdue,3.6539999999999697,Zach Edey,22.957345702329363,83.8861411963108
30,UNC,4.045999999999906,RJ Davis,19.84043805402338,80.27441236657674
14,Kentucky,4.627999999999955,Antonio Reeves,17.271021847314294,79.93028910936978
1,UConn,5.2129999999999495,Cam Spencer,13.016292570786877,67.85393317151133
15,Kentucky,4.627999999999955,Rob Dillingham,14.075942148687231,65.14346026412387
2,UConn,5.2129999999999495,Alex Karaban,12.260253842014835,63.91270327842272
96,Tennessee,3.0819999999999634,Dalton Knecht,19.724272999600863,60.79020938476914
73,Creighton,3.1699999999999644,Baylor Scheierman,19.0767685151666,60.473356193077436
3,UConn,5.2129999999999495,Donovan Clingan,11.195942733465493,58.36444946955505
31,UNC,4.045999999999906,Armando Bacot,14.345653678056,58.042514781413225
74,Creighton,3.1699999999999644,Trey Alexander,18.197710170330268,57.6867412399463
44,Houston,3.934999999999965,LJ Cryer,14.472587364233853,56.9496312782597
45,Houston,3.934999999999965,Jamal Shead,13.776927291049892,54.21220889028084
16,Kentucky,4.627999999999955,Reed Sheppard,11.580935192368841,53.59656807028247
4,UConn,5.2129999999999495,Stephon Castle,10.271588353010259,53.54579008424196
32,UNC,4.045999999999906,Harrison Ingram,13.01752431795746,52.66890339045466
124,Michigan State,2.9999999999999427,Tyson Walker,17.281366491635996,51.844099474907
138,Arizona,2.841999999999968,Caleb Love,18.09421870802997,51.4237695682206
267,Illinois,2.357999999999969,Terrence Shannon,21.779552344135777,51.35618442747148
17,Kentucky,4.627999999999955,Tre Mitchell,10.800628791333857,49.985310046292604
152,Kansas,2.695999999999956,Kevin McCullar,18.417725288409084,49.65418737755009
46,Houston,3.934999999999965,Emanuel Sharp,12.36364100526389,48.65092735571297
57,Purdue,3.6539999999999697,Braden Smith,13.274352402998836,48.50448368055735
75,Creighton,3.1699999999999644,Ryan Kalkbrenner,15.223604900119746,48.258827533379055
153,Kansas,2.695999999999956,Hunter Dickinson,17.522224220234246,47.23991649775076
280,Dayton,2.34399999999997,DaRon Holmes II,19.869917844510624,46.57508742753231
33,UNC,4.045999999999906,Cormac Ryan,11.362903739605109,45.974308530441206
85,Baylor,3.1039999999999712,Rayj Dennis,14.769698242977775,45.84514334620259
84,Baylor,3.1039999999999712,Ja'Kobe Walter,14.738029484871072,45.74684352103938
18,Kentucky,4.627999999999955,D.J. Wagner,9.733137833478853,45.044961893339696
58,Purdue,3.6539999999999697,Lance Jones,11.872316716960576,43.38144528377359
324,Alabama,2.1829999999999683,Mark Sears,19.758843148400246,43.13355459295711
337,San Diego State,2.123999999999972,Jaedon Ledee,20.26156175411125,43.035557165731724
179,Duke,2.634999999999968,Kyle Filipowski,16.236223340891993,42.78244850324988
112,Gonzaga,3.005999999999957,Graham Ike,14.166569470690806,42.58470782889596
237,Florida,2.4449999999999648,Walter Clayton,17.12835765409143,41.87883446425295
366,Texas A&M,2.023999999999984,Wade Taylor,20.42956175236445,41.34943298678532
192,Auburn,2.617999999999969,Johni Broome,15.468928103373774,40.497653774632056
115,Gonzaga,3.005999999999957,Ryan Nembhard,13.280592370268796,39.92146066502743
113,Gonzaga,3.005999999999957,Anton Watson,13.24187429578862,39.805074133140025
114,Gonzaga,3.005999999999957,Nolan Hickman,12.936294940592287,38.88650259141986
166,Iowa State,2.644999999999966,Keshon Gilbert,14.643564187029462,38.73222727469243
225,Washington State,2.5209999999999675,Myles Rice,15.140676378503628,38.16964515020715
98,Tennessee,3.0819999999999634,Zakai Zeigler,12.353094947437038,38.0722386280005
268,Illinois,2.357999999999969,Marcus Domask,16.022788187232425,37.78173454549356
309,Wisconsin,2.323999999999966,AJ Storr,16.215727444338427,37.68535058064195
224,Washington State,2.5209999999999675,Isaac Jones,14.720110558212319,37.10939871725278
253,Marquette,2.4399999999999675,Tyler Kolek,15.177251539810229,37.032493757136464
76,Creighton,3.1699999999999644,Steven Ashworth,11.498786461320417,36.45115308238531
252,Marquette,2.4399999999999675,Kameron Jones,14.881551682705627,36.31098610580125
238,Florida,2.4449999999999648,Zyon Pullin,14.711456974457132,35.969512302547166
